;;;;;;;;;;;;;;;;;;; $ 2.976.195,01 ;;;
DOMINIO;MARCA;MODELO;AÑO;PROVEEDOR;F/COMPRA;F/VENTA;GESTOR;RADIACION ANTERIOR;F/TITULO;RADIACION ACTUAL;ALTA;F/ENVIO ;BAJA;F/ENVIO ;GESTOR; DEUDA ;HONORARIOS;ARANCELES;DEUDA TOTAL;FECHA PAGO ;FECHA RESOLUCION ;
AB355BI;CITROEN;C3 VTI 115 FEEL;2017;CLIENTE;23/8/2025;13/4/2026;SOL;SANTA FE - ROLDAN;30/4/2026;SANTA FE - BAIGORRIA ;OK;;OK;;;;;; $ -   ;;;
AC168RA;RENAULT;CAPTUR ZEN 2.0;2017;CAR FRANCE;31/7/2025;13/4/2026;SOL;CORRIENTES- RIACHUELO;13/5/2026;SANTA FE - ROSARIO;OK;;OK;;;;;; $ -   ;;;
AB595HZ;PEUGEOT;208 ALLURE 1.6;2017;METZ;20/11/2025;13/4/2026;SOL;CORRIENTES - CORRIENTES;28/4/2026;SANTA FE - SANTA FE ;OK;;PTE;"""""""""""""";ACOR;;;; $ -   ;;;
AF630TB;NISSAN;VERSA 1.6 SENSE MT;2022;CAR FRANCE;5/9/2025;15/4/2026;CACHO;CHACO - RESISTENCIA;13/5/2026;CORDOBA - CRUZ ALTA;PTE;;PROCESO;13-jul;HECTOR; $ 59.196,54 ; $ 30.000,00 ; $ 4.800,00 ; $ 93.996,54 ;PAGADO 31-7;;
NKL786;PEUGEOT;3008 FELINE 1.6;2013;CLIENTE;25/4/2025;21/4/2026;SOL;SANTA FE - ROSARIO;13/5/2026;SANTA FE - ROSARIO;PTE;;OK;;;;;; $ -   ;;;
AA622SK;CHEVROLET;SONIC 1.6 LT MT 5P;2016;CLIENTE;24/10/2025;28/4/2026;SOL;SANTA FE - SANTA TERESA;22/5/2026;SANTA FE - FUNES;PTE;;OK;;;;;; $ -   ;;;
AE075HU;CITROEN;C4 CACTUS VTI FEEL PACK AM20;2020;METZ;20/11/2025;30/4/2026;SOL;TITULO PTE;;;PTE;;PTE;;;;;; $ -   ;;;
MVX205;CHEVROLET;CLASSIC 4 PTAS LS AA+DIR 1.4N;2013;CLIENTE;5/12/2025;30/4/2026;SOL;SANTA FE - BELTRAN;22/5/2026; SANTA FE - PEREZ ;PTE;;OK;;;;;; $ -   ;;;
G542319;PEUGEOT;2008 ALLURE T200 AM26;2026;AVEC;7/5/2025;7/5/2026;SOL;TITULO PTE;;;PTE;;PTE;;;;;; $ -   ;;;
MVX033;RENAULT;CLIO MIO EXPRESSION PACK II;2013;CLIENTE;15/12/2025;12/5/2026;SOL;SANTA FE -ROSARIO;21/5/2026; SANTA FE - BAIGORRIA  ;PTE;;OK;;;;;; $ -   ;;;
AA019PL;RENAULT;SANDERO STEPWAY PRIVILEGE 1.6;2016;CLIENTE;15/9/2025;13/5/2026;SOL;SANTA FE - BIGAND;4/6/2026;SANTA FE - VILLA CONSTITUCION ;OK;;OK;;;;;; $ -   ;;;
AB588WE;RENAULT;STEPWAY PRIVILEGE 1.6;2017;CAR FRANCE;15/1/2026;14/5/2026;SOL;CHACO - RESISTENCIA;4/6/2026;SANTA FE - ROSARIO;PTE;;PTE;;;;;; $ -   ;;;
MKS300.;CHEVROLET;CELTA LT SPIRIT;2013;CLIENTE;1/4/2026;14/5/2026;SOL;SANTA FE - FUNES;1/6/2026;SANTA FE - ROSARIO;OK;;OK;;;;;; $ -   ;;;
AF336KT;NISSAN;FRONTIER CD X-GEAR 2.3 D 4X4 AT;2022;KYOTO;15/1/2026;18/5/2026;CLIENTE;CORRIENTES - SAN CARLOS;12/6/2026;SANTA FE - CASILDA ;PTE;;PROCESO;13-jul;HECTOR;;;; $ -   ;;;
AC600YI;RENAULT;DUSTER PH2 PRIVILEGE 2.0;2018;CAR FRANCE;15/1/2026;20/5/2026;CACHO ;CORRIENTES - CORRIENTES;24/6/2026;MENDOZA - USPALLATA;OK;A CARGO DEL CLIENTE;PROCESO ;6-jul;ACOR ;;;; $ -   ;;;
AF249SL;NISSAN;FRONTIER CD X GEAR 2.3 D 4X2;2022;KYOTO;21/4/2025;28/5/2026;SOL;CHACO - MACHAGI;8/6/2026;SANTA FE - FRAY LUIS BELTRAN;OK;;PTE;;;;;; $ -   ;;;
MFA302;RENAULT;MEGANE III 2.0 16V LUXE;2013;CLIENTE;30/3/2026;28/5/2026;SOL;SANTA FE -ROSARIO;11/6/2026;SANTA FE -ROSARIO;PTE;6/7/2026;OK;;;;;; $ -   ;;;
AA161ZB;VW;GOL TREND 1.6 SPORTLINE;2016;CLIENTE;8/5/2025;2/6/2026;SOL;TITULO PTE;;;PTE;;PTE;;;;;; $ -   ;;;
